Product Name,Description,Price,Price Unit,Category,Image Filename
"WALL FIX BOND 50G","Rapid curing Wall Fix adhesive bond (50g tube) for quick panel and channel fixing.",108,Piece,hardware,wall-fix-rapid-adhesive-bond-50g.webp
"WALL FIX BOND 18G","Compact Wall Fix adhesive bond (18g tube) for minor repairs and quick hardware locking.",54,Piece,hardware,wall-fix-rapid-adhesive-bond-18g.jpg
"ARALDITE 1.8KG","Industrial grade Araldite epoxy adhesive pack (1.8 Kg), ultra-strong bonding strength.",1224,Piece,hardware,araldite-standard-epoxy-adhesive-1-8kg.webp
"ZYPSEM SCREW 3/4 WHITE","Premium white Zypsem drywall screws (3/4 inch) for dry partition board wiring setups.",300,Box,hardware,zypsem-drywall-screws-3-4-inch-white.webp
"WOOD CUTTER BLADE 5/30 BOSCH","Genuine 5-inch 30-teeth wood cutter circular saw blade by Bosch. Ultra-sharp teeth for clean cuts.",276,Piece,hardware,bosch-wood-cutter-circular-saw-blade-5-inch-30t.webp
"WOOD CUTTER BLADE 4/30 BOSCH","Genuine 4-inch 30-teeth wood cutter circular saw blade by Bosch, engineered for high RPM.",252,Piece,hardware,bosch-wood-cutter-circular-saw-blade-4-inch-30t.jpg
"SATTRING KEEL 1 INCH","Standard 1-inch shuttering concrete keels/nails for wooden structuring and support.",82,Kg,hardware,shuttering-concrete-nails-1-inch.jpg
"SATTRING KEEL 2 INCH","Heavy 2-inch shuttering concrete nails for frame support and conduit pipe anchoring.",82,Kg,hardware,shuttering-concrete-nails-2-inch.jpg
"SATTRING KEEL 3 INCH","Heavy-duty 3-inch shuttering nails for heavy structural frames and timber support.",82,Kg,hardware,shuttering-concrete-nails-3-inch.jpg
"SATTRING KEEL 4 INCH","Extra-long 4-inch concrete shuttering nails for high-load timber structures.",82,Kg,hardware,shuttering-concrete-nails-4-inch.jpg
"MARBLE CUTTER BLADE 4 INCH","Premium 4-inch diamond marble cutter blade for fast, precise, and chip-free cutting of marble, granite, and tiles.",180,Piece,hardware,marble-cutter-blade-4-inch.webp
"MARBLE CUTTER BLADE 5 INCH","Heavy-duty 5-inch diamond blade designed for cutting through marbles, tiles, and masonry with clean edges.",220,Piece,hardware,marble-cutter-blade-5-inch.webp
"MARBLE CUTTER BLADE 6 INCH","Professional 6-inch diamond edge cutting blade for large granite slabs, concrete, and thick stone tiles.",260,Piece,hardware,marble-cutter-blade-6-inch.webp
"SDS PLUS HAMMER DRILL BIT 6 X 110MM","Professional SDS-Plus masonry hammer drill bit (6mm diameter, 110mm length) for rapid concrete and brick drilling.",45,Piece,hardware,sds-plus-hammer-drill-bit-6mm.webp
"SDS PLUS HAMMER DRILL BIT 8 X 160MM","Professional SDS-Plus masonry hammer drill bit (8mm diameter, 160mm length) for wall plugs and anchor installations.",55,Piece,hardware,sds-plus-hammer-drill-bit-8mm.webp
"SDS PLUS HAMMER DRILL BIT 10 X 160MM","Premium SDS-Plus masonry hammer drill bit (10mm diameter, 160mm length) for heavy wall anchors and conduit brackets.",65,Piece,hardware,sds-plus-hammer-drill-bit-10mm.webp
"SDS PLUS HAMMER DRILL BIT 12 X 160MM","High-performance SDS-Plus hammer drill bit (12mm diameter, 160mm length) designed for concrete and masonry.",85,Piece,hardware,sds-plus-hammer-drill-bit-12mm.webp
"SDS PLUS HAMMER DRILL BIT 16 X 200MM","Heavy-duty SDS-Plus concrete drill bit (16mm diameter, 200mm length) for large cabling pass-throughs and structural anchoring.",135,Piece,hardware,sds-plus-hammer-drill-bit-16mm.webp
"PARAS THREADED ROD 1 METER","High-strength galvanized iron threaded hanger rod (Paras Rod) for supporting ceiling channels, conduits, and heavy cable trays.",110,Piece,hardware,paras-threaded-rod-1m.webp
"BOSCH CUTTING WHEEL 14 INCH","Genuine 14-inch Bosch abrasive metal cutting wheel, engineered for chop saws to deliver fast, clean cuts in steel and iron.",210,Piece,hardware,bosch-cutting-wheel-14-inch.webp
"BOSCH GRINDING WHEEL 4 INCH","Genuine 4-inch Bosch grinding and polishing (Gisai) disc, designed for metal surface cleaning, weld dressing, and deburring.",50,Piece,hardware,bosch-grinding-wheel-4-inch.webp

