id	title	description	link	image_link	additional_image_link	availability	price	condition	brand	google_product_category	identifier_exists	shipping
PROD-3-MODULAR-BOX	3 MODULAR BOX	Robust 3-module galvanized iron modular mounting box with standard threads for modular switch plates.	https://anshumanenterprises.online/products.html#PROD-3-MODULAR-BOX	https://anshumanenterprises.online/images/products/galvanized-iron-3-modular-switch-box.jpg		in_stock	36.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-4-MODULAR-BOX	4 MODULAR BOX	Galvanized 4-module switch box, durable and corrosion-resistant for concealed wiring setups.	https://anshumanenterprises.online/products.html#PROD-4-MODULAR-BOX	https://anshumanenterprises.online/images/products/galvanized-iron-4-modular-switch-box.webp		in_stock	42.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-6-MODULAR-BOX	6 MODULAR BOX	Galvanized steel 6-module mounting box, engineered for standard switches and power outlets.	https://anshumanenterprises.online/products.html#PROD-6-MODULAR-BOX	https://anshumanenterprises.online/images/products/galvanized-iron-6-modular-switch-box.webp		in_stock	60.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-8-MODULAR-BOX-SQUARE	8 MODULAR BOX SQUARE	Square 8-module metal switchboard box, optimized space utilization for complex modular grids.	https://anshumanenterprises.online/products.html#PROD-8-MODULAR-BOX-SQUARE	https://anshumanenterprises.online/logo.webp		in_stock	72.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-8-MODULAR-BOX	8 MODULAR BOX	Standard rectangular 8-module galvanized switch box for heavy home appliances and multiple points.	https://anshumanenterprises.online/products.html#PROD-8-MODULAR-BOX	https://anshumanenterprises.online/images/products/galvanized-iron-8-modular-rectangular-switch-box.jpg		in_stock	60.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-12-MODULAR-BOX	12 MODULAR BOX	Spacious 12-module galvanized modular switchboard box for complete room control and panel distribution.	https://anshumanenterprises.online/products.html#PROD-12-MODULAR-BOX	https://anshumanenterprises.online/images/products/galvanized-iron-12-modular-switch-box.webp		in_stock	84.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-INDEANA-PIPE-HEAVY-25MM	INDEANA PIPE HEAVY 25MM	Heavy-duty 25mm PVC conduit pipe by Indeana. High impact-resistant and fire-retardant wiring protection.	https://anshumanenterprises.online/products.html#PROD-INDEANA-PIPE-HEAVY-25MM	https://anshumanenterprises.online/logo.webp		in_stock	2016.00 INR	new	Indeana	1938	no	IN:Standard Delivery:0.00 INR
PROD-INDEANA-PIPE-20MM-MEDIUM	INDEANA PIPE 20MM MEDIUM	Medium-duty 20mm PVC conduit pipe by Indeana, flexible and robust for concealed ceiling and wall installations.	https://anshumanenterprises.online/products.html#PROD-INDEANA-PIPE-20MM-MEDIUM	https://anshumanenterprises.online/images/products/indeana-medium-duty-pvc-conduit-pipe-20mm.jpg		in_stock	1920.00 INR	new	Indeana	1938	no	IN:Standard Delivery:0.00 INR
PROD-INDEANA-PIPE-25MM-MEDIUM	INDEANA PIPE 25MM MEDIUM	Medium-duty 25mm PVC conduit pipe by Indeana, ideal for standard cable distribution and layouts.	https://anshumanenterprises.online/products.html#PROD-INDEANA-PIPE-25MM-MEDIUM	https://anshumanenterprises.online/logo.webp		in_stock	1704.00 INR	new	Indeana	1938	no	IN:Standard Delivery:0.00 INR
PROD-INDEANA-BAND-25MM	INDEANA BAND 25MM	Robust 25mm PVC bend/band by Indeana, designed for smooth pulling of wires without damage at corners.	https://anshumanenterprises.online/products.html#PROD-INDEANA-BAND-25MM	https://anshumanenterprises.online/images/products/indeana-pvc-conduit-bend-band-25mm.jpg		in_stock	156.00 INR	new	Indeana	1938	no	IN:Standard Delivery:0.00 INR
PROD-INDEANA-BAND-20MM-MEDIUM	INDEANA BAND 20MM MEDIUM	Medium-duty 20mm PVC bend for connecting wall conduits seamlessly at right angles.	https://anshumanenterprises.online/products.html#PROD-INDEANA-BAND-20MM-MEDIUM	https://anshumanenterprises.online/images/products/indeana-medium-pvc-conduit-bend-band-20mm.jpg		in_stock	216.00 INR	new	Indeana	1938	no	IN:Standard Delivery:0.00 INR
PROD-INDEANA-BAND-25MM-HEAVY	INDEANA BAND 25MM HEAVY	Heavy-duty 25mm PVC conduit bend, offering high physical impact tolerance for floor and structural bends.	https://anshumanenterprises.online/products.html#PROD-INDEANA-BAND-25MM-HEAVY	https://anshumanenterprises.online/logo.webp		in_stock	240.00 INR	new	Indeana	1938	no	IN:Standard Delivery:0.00 INR
PROD-FAN-BOX-HEAVY	FAN BOX HEAVY	Heavy-duty ceiling fan mounting junction box, designed to bear high load and structural vibrations.	https://anshumanenterprises.online/products.html#PROD-FAN-BOX-HEAVY	https://anshumanenterprises.online/logo.webp		in_stock	96.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-CONCIELD-BOX-HEAVY	CONCIELD BOX HEAVY	Heavy-duty concealed ceiling junction box for neat wiring connections and profile lights.	https://anshumanenterprises.online/products.html#PROD-CONCIELD-BOX-HEAVY	https://anshumanenterprises.online/images/products/concealed-ceiling-junction-box-heavy-duty.jpg		in_stock	42.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-FAN-BOX-MEDIUM	FAN BOX MEDIUM	Standard medium-duty fan junction box for residential housing projects.	https://anshumanenterprises.online/products.html#PROD-FAN-BOX-MEDIUM	https://anshumanenterprises.online/logo.webp		in_stock	78.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-CONCIELD-MEDIUM	CONCIELD MEDIUM	Concealed medium-duty wall junction box, flame-retardant and durable.	https://anshumanenterprises.online/products.html#PROD-CONCIELD-MEDIUM	https://anshumanenterprises.online/images/products/concealed-ceiling-junction-box-medium-duty-180g.jpg		in_stock	36.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-FLEXIBLE-PIPE-20MM	FLEXIBLE PIPE 20MM	Corrugated 20mm PVC flexible pipe, perfect for linking main conduits to switch boards around pillars.	https://anshumanenterprises.online/products.html#PROD-FLEXIBLE-PIPE-20MM	https://anshumanenterprises.online/images/products/pvc-flexible-corrugated-conduit-pipe-20mm.jpg		in_stock	94.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-FAN-ROD-12-INCH	FAN ROD 12 INCH	Heavy iron ceiling fan downrod (12 inches) with rust-resistant paint and secure key bolt slots.	https://anshumanenterprises.online/products.html#PROD-FAN-ROD-12-INCH	https://anshumanenterprises.online/images/products/ceiling-fan-downrod-iron-12-inch.webp		in_stock	22.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-TEE-COVER	TEE COVER	Standard PVC Tee cover for securing T-junction connections of surface wiring casing/pipes.	https://anshumanenterprises.online/products.html#PROD-TEE-COVER	https://anshumanenterprises.online/images/products/pvc-conduit-tee-connection-cover.jpg		in_stock	3.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-FAN-COVER	FAN COVER	High-quality replacement canopy/cover set for ceiling fans, white glossy finish.	https://anshumanenterprises.online/products.html#PROD-FAN-COVER	https://anshumanenterprises.online/logo.webp		in_stock	12.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SCREW-75-INCH	SCREW .75 INCH	Standard 0.75-inch premium threaded metal screws for switchboards and general hardware fittings.	https://anshumanenterprises.online/products.html#PROD-SCREW-75-INCH	https://anshumanenterprises.online/images/products/screw-0-75-inch.webp		in_stock	240.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SCREW-1-INCH	SCREW 1 INCH	Threaded 1-inch metal screws, durable and rust-resistant for secure electrical hardware mounting.	https://anshumanenterprises.online/products.html#PROD-SCREW-1-INCH	https://anshumanenterprises.online/images/products/premium-threaded-mounting-screws-1-inch.png		in_stock	264.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SCREW-1-5-INCH	SCREW 1.5 INCH	Heavy-duty 1.5-inch mounting screws for conduits, junction boxes, and frame clamping.	https://anshumanenterprises.online/products.html#PROD-SCREW-1-5-INCH	https://anshumanenterprises.online/images/products/screw-1-5-inch.webp		in_stock	240.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SCREW-2-INCH	SCREW 2 INCH	High-tensile 2-inch screws, perfect for deep wall plug anchorage and heavy fixtures.	https://anshumanenterprises.online/products.html#PROD-SCREW-2-INCH	https://anshumanenterprises.online/images/products/premium-threaded-mounting-screws-2-inch.webp		in_stock	264.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SCREW-2-5-INCH	SCREW 2.5 INCH	Premium 2.5-inch structural screws for ceiling box fittings and secure heavy clamping.	https://anshumanenterprises.online/products.html#PROD-SCREW-2-5-INCH	https://anshumanenterprises.online/logo.webp		in_stock	300.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SCREW-3-INCH	SCREW 3 INCH	Extra-long 3-inch steel mounting screws for deep concrete plug anchoring and brackets.	https://anshumanenterprises.online/products.html#PROD-SCREW-3-INCH	https://anshumanenterprises.online/logo.webp		in_stock	336.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-PVC-SADDLE	PVC SADDLE	High-grade PVC conduit pipe clamp/saddle for rigid surface routing and ceiling clipping.	https://anshumanenterprises.online/products.html#PROD-PVC-SADDLE	https://anshumanenterprises.online/logo.webp		in_stock	180.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-STEELGRIP-INSULATION-TAPE	STEELGRIP INSULATION TAPE	Premium Steelgrip self-adhesive PVC insulation tape, high dielectric strength and heat resistant.	https://anshumanenterprises.online/products.html#PROD-STEELGRIP-INSULATION-TAPE	https://anshumanenterprises.online/logo.webp		in_stock	324.00 INR	new	Steelgrip	1938	no	IN:Standard Delivery:0.00 INR
PROD-THERMOCOL	THERMOCOL	Premium grade thermocol sheets/blocks for shockproofing and packaging utility.	https://anshumanenterprises.online/products.html#PROD-THERMOCOL	https://anshumanenterprises.online/logo.webp		in_stock	72.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SOCKET	socket	Standard electrical modular switch/socket fitting.	https://anshumanenterprises.online/products.html#PROD-SOCKET	https://anshumanenterprises.online/logo.webp		in_stock	7.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-FAN-BOX-LIGHT-500G	Fan box light 500G	Standard fan junction light box 500g capacity.	https://anshumanenterprises.online/products.html#PROD-FAN-BOX-LIGHT-500G	https://anshumanenterprises.online/logo.webp		in_stock	72.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-MASKING-TAPE	MASKING TAPE	High-adhesion masking tape for site painting protection and structural marking.	https://anshumanenterprises.online/products.html#PROD-MASKING-TAPE	https://anshumanenterprises.online/images/products/high-adhesion-masking-tape.webp		in_stock	24.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SELF-DRILLING-SCREW-1-INCH	SELF DRILLING SCREW 1 INCH	High-efficiency 1-inch self-drilling screws for metal casing and GI pipe frames.	https://anshumanenterprises.online/products.html#PROD-SELF-DRILLING-SCREW-1-INCH	https://anshumanenterprises.online/logo.webp		in_stock	1.50 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SELF-DRILLING-SCREW-1-5-INCH	SELF DRILLING SCREW 1.5 INCH	Self-drilling 1.5-inch metal screws, drills and fastens in a single action.	https://anshumanenterprises.online/products.html#PROD-SELF-DRILLING-SCREW-1-5-INCH	https://anshumanenterprises.online/logo.webp		in_stock	360.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SELF-DRILLING-SCREW-2-INCH	SELF DRILLING SCREW 2 INCH	Heavy-duty 2-inch self-drilling metal screws for thick sheets and frames.	https://anshumanenterprises.online/products.html#PROD-SELF-DRILLING-SCREW-2-INCH	https://anshumanenterprises.online/images/products/self-drilling-metal-screws-2-inch.jpg		in_stock	360.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-HEATEX-5-KG	HEATEX 5 KG	High-grade Heatex adhesive / seal bond compound (5 Kg bucket) for construction joints.	https://anshumanenterprises.online/products.html#PROD-HEATEX-5-KG	https://anshumanenterprises.online/images/products/heatex-adhesive-seal-bond-compound-5kg.jpg		in_stock	2820.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-KEEL-1-14-SPN	KEEL 1*14 SPN	Standard 1x14 concrete nails / keels for fast ceiling and wall anchoring.	https://anshumanenterprises.online/products.html#PROD-KEEL-1-14-SPN	https://anshumanenterprises.online/images/products/concrete-nails-keel-1-inch-14-spn.jpg		in_stock	114.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-KEEL-1-5-14-SPN	KEEL 1.5*14 SPN	High-strength 1.5x14 concrete nails for conduit clips and wiring casing anchoring.	https://anshumanenterprises.online/products.html#PROD-KEEL-1-5-14-SPN	https://anshumanenterprises.online/images/products/concrete-nails-keel-1-5-inch-14-spn.jpg		in_stock	114.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-KEEL-2-14-SPN	KEEL 2*14 SPN	Standard 2x14 concrete nails / keels for structural concrete fittings.	https://anshumanenterprises.online/products.html#PROD-KEEL-2-14-SPN	https://anshumanenterprises.online/logo.webp		in_stock	114.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-WALL-FIX-BOND-50G	WALL FIX BOND 50G	Rapid curing Wall Fix adhesive bond (50g tube) for quick panel and channel fixing.	https://anshumanenterprises.online/products.html#PROD-WALL-FIX-BOND-50G	https://anshumanenterprises.online/images/products/wall-fix-rapid-adhesive-bond-50g.webp		in_stock	108.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-WALL-FIX-BOND-18G	WALL FIX BOND 18G	Compact Wall Fix adhesive bond (18g tube) for minor repairs and quick hardware locking.	https://anshumanenterprises.online/products.html#PROD-WALL-FIX-BOND-18G	https://anshumanenterprises.online/images/products/wall-fix-rapid-adhesive-bond-18g.jpg		in_stock	54.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-ARALDITE-1-8KG	ARALDITE 1.8KG	Industrial grade Araldite epoxy adhesive pack (1.8 Kg), ultra-strong bonding strength.	https://anshumanenterprises.online/products.html#PROD-ARALDITE-1-8KG	https://anshumanenterprises.online/images/products/araldite-standard-epoxy-adhesive-1-8kg.webp		in_stock	1224.00 INR	new	Araldite	1938	no	IN:Standard Delivery:0.00 INR
PROD-ZYPSEM-SCREW-3-4-WHITE	ZYPSEM SCREW 3/4 WHITE	Premium white Zypsem drywall screws (3/4 inch) for dry partition board wiring setups.	https://anshumanenterprises.online/products.html#PROD-ZYPSEM-SCREW-3-4-WHITE	https://anshumanenterprises.online/images/products/zypsem-drywall-screws-3-4-inch-white.webp		in_stock	300.00 INR	new	Zypsem	1938	no	IN:Standard Delivery:0.00 INR
PROD-WOOD-CUTTER-BLADE-5-30-BOSCH	WOOD CUTTER BLADE 5/30 BOSCH	Genuine 5-inch 30-teeth wood cutter circular saw blade by Bosch. Ultra-sharp teeth for clean cuts.	https://anshumanenterprises.online/products.html#PROD-WOOD-CUTTER-BLADE-5-30-BOSCH	https://anshumanenterprises.online/images/products/bosch-wood-cutter-circular-saw-blade-5-inch-30t.webp		in_stock	276.00 INR	new	Bosch	1938	no	IN:Standard Delivery:0.00 INR
PROD-WOOD-CUTTER-BLADE-4-30-BOSCH	WOOD CUTTER BLADE 4/30 BOSCH	Genuine 4-inch 30-teeth wood cutter circular saw blade by Bosch, engineered for high RPM.	https://anshumanenterprises.online/products.html#PROD-WOOD-CUTTER-BLADE-4-30-BOSCH	https://anshumanenterprises.online/images/products/bosch-wood-cutter-circular-saw-blade-4-inch-30t.jpg		in_stock	252.00 INR	new	Bosch	1938	no	IN:Standard Delivery:0.00 INR
PROD-SATTRING-KEEL-1-INCH	SATTRING KEEL 1 INCH	Standard 1-inch shuttering concrete keels/nails for wooden structuring and support.	https://anshumanenterprises.online/products.html#PROD-SATTRING-KEEL-1-INCH	https://anshumanenterprises.online/images/products/shuttering-concrete-nails-1-inch.jpg		in_stock	82.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SATTRING-KEEL-2-INCH	SATTRING KEEL 2 INCH	Heavy 2-inch shuttering concrete nails for frame support and conduit pipe anchoring.	https://anshumanenterprises.online/products.html#PROD-SATTRING-KEEL-2-INCH	https://anshumanenterprises.online/images/products/shuttering-concrete-nails-2-inch.jpg		in_stock	82.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SATTRING-KEEL-3-INCH	SATTRING KEEL 3 INCH	Heavy-duty 3-inch shuttering nails for heavy structural frames and timber support.	https://anshumanenterprises.online/products.html#PROD-SATTRING-KEEL-3-INCH	https://anshumanenterprises.online/images/products/shuttering-concrete-nails-3-inch.jpg		in_stock	82.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SATTRING-KEEL-4-INCH	SATTRING KEEL 4 INCH	Extra-long 4-inch concrete shuttering nails for high-load timber structures.	https://anshumanenterprises.online/products.html#PROD-SATTRING-KEEL-4-INCH	https://anshumanenterprises.online/images/products/shuttering-concrete-nails-4-inch.jpg		in_stock	82.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-MARBLE-CUTTER-BLADE-4-INCH	MARBLE CUTTER BLADE 4 INCH	Premium 4-inch diamond marble cutter blade for fast, precise, and chip-free cutting of marble, granite, and tiles.	https://anshumanenterprises.online/products.html#PROD-MARBLE-CUTTER-BLADE-4-INCH	https://anshumanenterprises.online/images/products/marble-cutter-blade-4-inch.webp		in_stock	180.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-MARBLE-CUTTER-BLADE-5-INCH	MARBLE CUTTER BLADE 5 INCH	Heavy-duty 5-inch diamond blade designed for cutting through marbles, tiles, and masonry with clean edges.	https://anshumanenterprises.online/products.html#PROD-MARBLE-CUTTER-BLADE-5-INCH	https://anshumanenterprises.online/images/products/marble-cutter-blade-5-inch.webp		in_stock	220.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-MARBLE-CUTTER-BLADE-6-INCH	MARBLE CUTTER BLADE 6 INCH	Professional 6-inch diamond edge cutting blade for large granite slabs, concrete, and thick stone tiles.	https://anshumanenterprises.online/products.html#PROD-MARBLE-CUTTER-BLADE-6-INCH	https://anshumanenterprises.online/images/products/marble-cutter-blade-6-inch.webp		in_stock	260.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SDS-PLUS-HAMMER-DRILL-BIT-6-X-110MM	SDS PLUS HAMMER DRILL BIT 6 X 110MM	Professional SDS-Plus masonry hammer drill bit (6mm diameter, 110mm length) for rapid concrete and brick drilling.	https://anshumanenterprises.online/products.html#PROD-SDS-PLUS-HAMMER-DRILL-BIT-6-X-110MM	https://anshumanenterprises.online/images/products/sds-plus-hammer-drill-bit-6mm.webp		in_stock	45.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SDS-PLUS-HAMMER-DRILL-BIT-8-X-160MM	SDS PLUS HAMMER DRILL BIT 8 X 160MM	Professional SDS-Plus masonry hammer drill bit (8mm diameter, 160mm length) for wall plugs and anchor installations.	https://anshumanenterprises.online/products.html#PROD-SDS-PLUS-HAMMER-DRILL-BIT-8-X-160MM	https://anshumanenterprises.online/images/products/sds-plus-hammer-drill-bit-8mm.webp		in_stock	55.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SDS-PLUS-HAMMER-DRILL-BIT-10-X-160MM	SDS PLUS HAMMER DRILL BIT 10 X 160MM	Premium SDS-Plus masonry hammer drill bit (10mm diameter, 160mm length) for heavy wall anchors and conduit brackets.	https://anshumanenterprises.online/products.html#PROD-SDS-PLUS-HAMMER-DRILL-BIT-10-X-160MM	https://anshumanenterprises.online/images/products/sds-plus-hammer-drill-bit-10mm.webp		in_stock	65.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SDS-PLUS-HAMMER-DRILL-BIT-12-X-160MM	SDS PLUS HAMMER DRILL BIT 12 X 160MM	High-performance SDS-Plus hammer drill bit (12mm diameter, 160mm length) designed for concrete and masonry.	https://anshumanenterprises.online/products.html#PROD-SDS-PLUS-HAMMER-DRILL-BIT-12-X-160MM	https://anshumanenterprises.online/images/products/sds-plus-hammer-drill-bit-12mm.webp		in_stock	85.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-SDS-PLUS-HAMMER-DRILL-BIT-16-X-200MM	SDS PLUS HAMMER DRILL BIT 16 X 200MM	Heavy-duty SDS-Plus concrete drill bit (16mm diameter, 200mm length) for large cabling pass-throughs and structural anchoring.	https://anshumanenterprises.online/products.html#PROD-SDS-PLUS-HAMMER-DRILL-BIT-16-X-200MM	https://anshumanenterprises.online/images/products/sds-plus-hammer-drill-bit-16mm.webp		in_stock	135.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
PROD-PARAS-THREADED-ROD-1-METER	PARAS THREADED ROD 1 METER	High-strength galvanized iron threaded hanger rod (Paras Rod) for supporting ceiling channels, conduits, and heavy cable trays.	https://anshumanenterprises.online/products.html#PROD-PARAS-THREADED-ROD-1-METER	https://anshumanenterprises.online/images/products/paras-threaded-rod-1m.webp		in_stock	110.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
